p1_x,p1_y,p1_x_speed,p1_y_speed,p1_gravity,p1_dir,p1_left,p1_right,p1_up,p1_down,p1_a,p1_b,p1_c,p1_d,p1_ab,p1_bc,p1_comb,p1_hp,p1_spirit,p1_untech,p1_card,p2_x,p2_y,p2_x_speed,p2_y_speed,p2_gravity,p2_dir,p2_left,p2_right,p2_up,p2_down,p2_a,p2_b,p2_c,p2_d,p2_ab,p2_bc,p2_comb,p2_hp,p2_spirit,p2_untech,p2_card
364.5,0.0,-6.0,0.0,0.0,4294967041,True,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,445.5,0.0,0.0,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
346.5,0.0,-6.0,0.0,0.0,4294967041,True,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,475.5,46.5,-10.0,15.0,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
328.5,0.0,-6.0,0.0,0.0,4294967041,True,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,505.5,88.5,-10.0,13.5,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
310.5,0.0,-6.0,0.0,0.0,4294967041,True,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,535.5,126.0,-10.0,12.0,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
292.5,0.0,-6.0,0.0,0.0,4294967041,True,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,565.5,159.0,-10.0,10.5,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
274.5,0.0,-6.0,0.0,0.0,4294967041,True,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,595.5,187.5,-10.0,9.0,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
256.5,0.0,-6.0,0.0,0.0,4294967041,True,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,625.5,211.5,-10.0,7.5,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
244.5,0.0,-6.0,0.0,0.0,4294967041,True,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,645.5,225.0,-10.0,6.5,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
226.5,0.0,-6.0,0.0,0.0,4294967041,True,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,675.5,241.5,-10.0,5.0,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
208.5,0.0,-6.0,0.0,0.0,4294967041,True,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,705.5,253.5,-10.0,3.5,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
190.5,0.0,-6.0,0.0,0.0,4294967041,True,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,735.5,261.0,-10.0,2.0,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
172.5,0.0,-6.0,0.0,0.0,4294967041,True,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,765.5,264.0,-10.0,0.5,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
154.5,0.0,-6.0,0.0,0.0,4294967041,True,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,795.5,262.5,-10.0,-1.0,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
136.5,0.0,-6.0,0.0,0.0,4294967041,True,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0,825.5,256.5,-10.0,-2.5,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
154.5,0.0,6.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,0,0,0,0,10000,1000,0,0,855.5,246.0,-10.0,-4.0,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
172.5,0.0,6.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,0,0,0,0,10000,1000,0,0,865.5,241.5,0.0,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
184.5,0.0,6.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,0,0,0,0,10000,1000,0,0,865.5,241.5,0.0,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
202.5,0.0,6.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,0,0,0,0,10000,1000,0,0,865.5,241.5,0.0,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
220.5,0.0,6.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,0,0,0,0,10000,1000,0,0,865.5,241.5,0.0,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
238.5,0.0,6.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,0,0,0,0,10000,1000,0,0,865.5,241.5,0.0,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
256.5,0.0,6.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,0,0,0,0,10000,1000,0,0,865.5,241.5,0.0,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
274.5,0.0,6.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,0,0,0,0,10000,1000,0,0,865.5,241.5,0.0,0.0,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
292.5,0.0,6.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,0,0,0,0,10000,1000,0,0,884.0,247.5,-18.5,6.0,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
310.5,0.0,6.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,0,0,0,0,10000,1000,0,0,936.5,262.5,-17.0,4.5,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
328.5,0.0,6.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,0,0,0,0,10000,1000,0,0,984.5,273.0,-15.5,3.0,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
346.5,0.0,6.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,0,0,0,0,10000,1000,0,0,1028.0,279.0,-14.0,1.5,0.5,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
